"Source","Affiliation","Institution","Country","DOI","ORCID","gleif","grid","psi","wikidata","isni"
"CrossRef","U.S. Army Research Laboratory; Adelphi Maryland USA","U.S. Army Research Laboratory","US","10.1002/2014rs005601",,"N/A","grid.420282.e",438560,"N/A","000000012151958X"
"CrossRef","SEGIS Analysis of Social, Juridical, and Economic Systems; University of Sannio; Benevento; Italy","SEGIS Analysis of Social, Juridical, and Economic Systems; University of Sannio","IT","10.1111/j.1468-2257.2012.00603.x",,"N/A","grid.47422.37",493436,"http://www.wikidata.org/entity/Q3551769","0000000107243038"
"CrossRef","Stanford Univ., CA (United States)","Stanford Univ.","US","10.2172/915390",,"N/A","grid.168010.e",435356,"http://www.wikidata.org/entity/Q41506","0000000419368956"
"CrossRef","Department of Prosthodontics, School of Dentistry, Universitat Internacional de Catalunya, Barcelona, Spain.","Department of Prosthodontics, School of Dentistry, Universitat Internacional de Catalunya","ES","10.4047/jap.2015.7.2.160","http://orcid.org/0000-0001-7135-8147","N/A","grid.410675.1",606620,"N/A","0000000123253084"
"CrossRef","National Institute of Advanced Industrial Science and Technology (AIST)","National Institute of Advanced Industrial Science and Technology (AIST)",,"10.5100/jje.51.s280",,"N/A","grid.208504.b",452338,"N/A","0000000122307538"
"CrossRef","NamesforLife, LLC","NamesforLife, LLC",,"10.1601/nm.11154","http://orcid.org/0000-0002-7436-3176","N/A","grid.474679.f","N/A","N/A","N/A"
"CrossRef","Pediatric Hematology-Oncology Unit, Department of Pediatrics; University Hospital of Lausanne; Switzerland","Pediatric Hematology-Oncology Unit, Department of Pediatrics; University Hospital of Lausanne","CH","10.1002/ajh.23975",,"N/A","grid.8515.9","N/A","N/A","0000000121654204"
"CrossRef","Research Laboratory, Takasago Perfumery Co. Ltd.","Research Laboratory, Takasago Perfumery Co. Ltd.",,"10.1248/yakushi1947.72.9_1175",,"N/A","grid.467621.0",453899,"N/A","0000000417634077"
"CrossRef","University of California, San Diego, San Diego, CA, USA","University of California, San Diego","US","10.1145/3093337.3037749",,"RRR42I7GG51DB5HDQR14","grid.266100.3",434760,"http://www.wikidata.org/entity/Q622664","0000000121074242"
"CrossRef","Institute of Geophysics; ETH Zurich; Sonneggstrasse 5,; CH-8096; Zurich; Switzerland","Institute of Geophysics; ETH Zurich","CH","10.1029/2011gc003633",,"N/A","grid.5801.c",498511,"http://www.wikidata.org/entity/Q11942","N/A"
"CrossRef","UPC BarcelonaTech, Barcelona, Spain","UPC BarcelonaTech","ES","10.1145/2987443.2987459",,"N/A","grid.6835.8",607009,"http://www.wikidata.org/entity/Q1640731","000000041937028X"
"CrossRef","Key Laboratory of Green Printing, Key Laboratory of Organic Solids, Institute of Chemistry, Chinese Academy of Sciences (ICCAS); Beijing 100190 P. R. China","Key Laboratory of Green Printing, Key Laboratory of Organic Solids, Institute of Chemistry, Chinese Academy of Sciences (ICCAS)","CN","10.1002/adma.201305249",,"N/A","grid.418929.f",541259,"N/A","0000000405963295"
"CrossRef","Department of Surgery, Okayama University Medical School","Department of Surgery, Okayama University Medical School",,"10.4044/joma1947.70.7_2341",,"N/A","grid.261356.5","N/A","http://www.wikidata.org/entity/Q1067916","0000000460046318"
"CrossRef","Department of Psychiatry and Psychotherapy III, University ­Hospital of Ulm, Ulm University, Ulm, Germany","Department of Psychiatry and Psychotherapy III, University ­Hospital of Ulm, Ulm University","DE","10.1055/s-0032-1306312",,"N/A","grid.410712.1",470666,"http://www.wikidata.org/entity/Q835662","0000000419369748"
"CrossRef","Division of Respirology; University of British Columbia; Vancouver British Columbia Canada","Division of Respirology; University of British Columbia","CA","10.1002/cam4.435",,"N/A","grid.17091.3e",511281,"http://www.wikidata.org/entity/Q391028","0000000122889830"
"CrossRef","UnitedHealthcare, Minnetonka, Minnesota","UnitedHealthcare",,"10.1001/jamaoncol.2016.4544",,"N/A","N/A","N/A","N/A","N/A"
"CrossRef","Department of Production Systems Engineering, Toyohashi University of Technology","Department of Production Systems Engineering, Toyohashi University of Technology",,"10.2320/matertrans.me200714",,"N/A","grid.412804.b",454083,"http://www.wikidata.org/entity/Q3113694","0000000109452394"
"CrossRef","Division of Nephrology and Hypertension; University of California, Irvine; Irvine California USA","Division of Nephrology and Hypertension; University of California, Irvine","US","10.1111/hdi.12510",,"RRR42I7GG51DB5HDQR14","grid.266093.8",448695,"http://www.wikidata.org/entity/Q868421","0000000106687243"
"CrossRef","The Third Department of Internal Medicine, Aichi Medical University","The Third Department of Internal Medicine, Aichi Medical University",,"10.5551/jat1973.15.8_1605",,"N/A","grid.411234.1",451215,"http://www.wikidata.org/entity/Q4696577","0000000107271557"
"CrossRef","Universidade Federal do Paraná,  Brazil; Universidade Federal do Paraná,  Brazil","Universidade Federal do Paraná","BR","10.1590/s1415-47572005000500002",,"N/A","grid.20736.30",581468,"http://www.wikidata.org/entity/Q1232831","000000011941472X"
"CrossRef","Cardiac Imaging Center; Asan Heart Institute Asan Medical Center; University of Ulsan College of Medicine; Seoul; South Korea","Cardiac Imaging Center; Asan Heart Institute Asan Medical Center; University of Ulsan College of Medicine","KR","10.1111/echo.12075",,"N/A","grid.413967.e",513704,"N/A","0000000108422126"
"CrossRef","Department of Preventive Medicine, Chonnam National University Medical School, Gwangju, Korea.","Department of Preventive Medicine, Chonnam National University Medical School","KR","10.4235/jkgs.2010.14.4.234",,"N/A","grid.14005.30",513789,"http://www.wikidata.org/entity/Q494681","000000040647248X"
"CrossRef","Department of Chemical Engineering; Curtin University; Perth WA 6845 Australia","Department of Chemical Engineering; Curtin University","AU","10.1002/aenm.201500188",,"N/A","grid.1032.0",635978,"http://www.wikidata.org/entity/Q1145497","0000000403754078"
"CrossRef","Center for Innovative Integrated Electronic Systems, Tohoku University, Sendai 980-0845, Japan","Center for Innovative Integrated Electronic Systems, Tohoku University","JP","10.1063/1.4973946","http://orcid.org/0000-0002-5742-108X","N/A","grid.69566.3a",454286,"http://www.wikidata.org/entity/Q1062129","N/A"
"CrossRef","Kumamoto University","Kumamoto University",,"10.1541/ieejeiss1987.114.12_1326",,"N/A","grid.274841.c",451996,"http://www.wikidata.org/entity/Q1148782","0000000106606749"
"CrossRef","Department of Mathematics, Shanghai University, Shanghai 200444, China","Department of Mathematics, Shanghai University","CN","10.1155/2014/875245",,"N/A","grid.39436.3b",542466,"http://www.wikidata.org/entity/Q1343386","0000000123235732"
"CrossRef","Member of the Monetary Policy Committee; Bank of England","Member of the Monetary Policy Committee; Bank of England",,"10.1111/manc.12069",,"YUEDD7W89PH0FV8Q2S28","grid.465255.5",592099,"http://www.wikidata.org/entity/Q183231","0000000404259300"
"CrossRef","Georgia State University, USA","Georgia State University","US","10.4018/978-1-4666-0086-7.ch002",,"N/A","grid.256304.6",448431,"http://www.wikidata.org/entity/Q1509333","0000000419367400"
"CrossRef","Wildlife Biology Laboratory, Institute of Biological Science, College of Arts & Science, University of the Philippines at Los Banos College","Wildlife Biology Laboratory, Institute of Biological Science, College of Arts & Science, University of the Philippines at Los Banos College",,"10.14491/jbba.ar077",,"N/A","grid.11176.30",475017,"http://www.wikidata.org/entity/Q3550116","0000000090670374"
"CrossRef","Veterinary Research Institute, Ipoh, Perak, Malaysia;","Veterinary Research Institute",,"10.3201/eid0703.010312",,"N/A","grid.433849.1",475524,"N/A","0000000418064862"
"CrossRef","Department of Civil and Environmental Engineering; University of Waterloo, 200 University Ave West; Waterloo, Ontario Canada","Department of Civil and Environmental Engineering; University of Waterloo","CA","10.1002/nme.4737",,"549300ACXH0JD2VM9I03","grid.46078.3d",511412,"http://www.wikidata.org/entity/Q1049470","0000000086441405"
"CrossRef","Department of Materials Science and Engineering, National Dong Hwa University","Department of Materials Science and Engineering, National Dong Hwa University",,"10.2320/matertrans.m2012281",,"N/A","grid.260567.0",509203,"http://www.wikidata.org/entity/Q11194540","0000000089643950"
"CrossRef","University of Texas M. D. Anderson Cancer Center, Houston, TX; Cancer Hospital, Beijing, China; West German Tumor Center, University Duisburg-Essen, Essen, Germany; Antwerp University Hospital, Edegem, Belgium; National Cancer Center Hospital East, Chiba, Japan; Tongji University, Shanghai, China; Beijing Institute for Cancer Research, Beijing, China; AstraZeneca, Wilmington, DE; AstraZeneca, Macclesfield, United Kingdom; Dana-Farber Cancer Institute, Boston, MA","University of Texas M. D. Anderson Cancer Center, Houston, TX; Cancer Hospital, Beijing, China; West German Tumor Center, University Duisburg-Essen, Essen, Germany; Antwerp University Hospital, Edegem, Belgium; National Cancer Center Hospital East, Chiba, Japan; Tongji University, Shanghai, China; Beijing Institute for Cancer Research, Beijing, China; AstraZeneca, Wilmington, DE; AstraZeneca, Macclesfield, United Kingdom; Dana-Farber Cancer Institute, Boston, MA",,"10.1200/jco.2009.27.18s.cra8003",,"N/A","grid.240145.6",448306,"http://www.wikidata.org/entity/Q1525831","0000000122914776"
"CrossRef","Visiting Lecturer in Dental Traumatology in the Department of Primary Dental Care; Dental Institute, King’s College; London","Visiting Lecturer in Dental Traumatology in the Department of Primary Dental Care; Dental Institute, King’s College",,"10.1111/edt.12083",,"N/A","grid.13097.3c",590077,"http://www.wikidata.org/entity/Q245247","0000000104302581"
"CrossRef","Panjab University, India","Panjab University","IN","10.4018/978-1-5225-1762-7.ch005",,"N/A","grid.261674.0",574242,"http://www.wikidata.org/entity/Q567899","0000000121745640"
"CrossRef","Department of Epidemiology and Biostatistics, University of Bahir Dar, Bahir Dar, Ethiopia","Department of Epidemiology and Biostatistics, University of Bahir Dar","ET","10.1155/2016/1962128","http://orcid.org/0000-0001-9251-3337","N/A","grid.442845.b",647887,"http://www.wikidata.org/entity/Q4842597","0000000404395951"
"CrossRef","RWI Essen","RWI Essen",,"10.1111/geer.12019",,"N/A","grid.437257.0","N/A","N/A","0000000121603212"
"CrossRef","Department of Chemistry and Biochemistry; University of Bern; Freiestrasse 3 3012 Bern Switzerland","Department of Chemistry and Biochemistry; University of Bern; Freiestrasse 3 3012","CH","10.1002/ange.201609051",,"N/A","grid.5734.5",499421,"http://www.wikidata.org/entity/Q659080","0000000404779832"
"CrossRef","Departamento de Informática e Ingeniería de Sistemas; Universidad de Zaragoza; C/ María de Luna 1 E-50018 Zaragoza Spain","Departamento de Informática e Ingeniería de Sistemas; Universidad de Zaragoza","ES","10.1002/cae.20576",,"N/A","grid.11205.37",606581,"N/A","0000000121528769"
"CrossRef","Tsinghua University, Beijing, China","Tsinghua University","CN","10.1115/gt2016-57626",,"N/A","grid.12527.33",543094,"http://www.wikidata.org/entity/Q16955","0000000106623178"
"CrossRef","Department of Cardiology, Kishiwada City Hospital, Japan","Department of Cardiology, Kishiwada City Hospital","JP","10.2169/internalmedicine.55.5645",,"N/A","grid.415381.a",452059,"N/A","0000000417718844"
"CrossRef","Physics Division, Argonne National Laboratory; Argonne USA","Physics Division, Argonne National Laboratory","US","10.1029/2003gl018293",,"N/A","grid.187073.a",435338,"N/A","0000000119394845"
"CrossRef","Infectious Diseases Department; Royal Darwin Hospital; Darwin Northern Territory Australia","Infectious Diseases Department; Royal Darwin Hospital","AU","10.1111/nep.12270",,"N/A","grid.240634.7","N/A","N/A","0000000089662764"
"CrossRef","Department of Physics, Tokyo Institute of Technology, 2-12-1 Ookayama, Meguro-ku, Tokyo 152-8551","Department of Physics, Tokyo Institute of Technology","JP","10.1143/jpsj.78.104716",,"N/A","grid.32197.3e",453999,"http://www.wikidata.org/entity/Q587326","0000000121792105"
"CrossRef","Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences, Kunming 650201, China","Key Laboratory for Plant Diversity and Biogeography of East Asia, Kunming Institute of Botany, Chinese Academy of Sciences","CN","10.1155/2015/610735",,"N/A","grid.458460.b",541594,"http://www.wikidata.org/entity/Q530471","000000041764155X"
"CrossRef","Section of Pancreatic Surgery, Department of General Surgery, Humanitas Research Hospital, University of Milan School of Medicine, Via Manzoni 56, Rozzano, 20089 Milan, Italy","Section of Pancreatic Surgery, Department of General Surgery, Humanitas Research Hospital, University of Milan School of Medicine","IT","10.1155/2014/641239",,"N/A","grid.4708.b",493861,"http://www.wikidata.org/entity/Q46210","0000000417572822"
"CrossRef","Graduate School of Engineering, Nagoya University","Graduate School of Engineering, Nagoya University",,"10.1585/pfr.11.1202005",,"N/A","grid.27476.30",452268,"http://www.wikidata.org/entity/Q1191132","000000010943978X"
"CrossRef","Erasmus University,  The Netherlands","Erasmus University","NL","10.1590/s0034-759020160405",,"N/A","grid.6906.9",487993,"http://www.wikidata.org/entity/Q633529","0000000092621349"
"CrossRef","Duke University, Durham, NC","Duke University","US","10.1200/jco.2004.22.90140.758",,"FY5ICUIRRDCHN4HHL592","grid.26009.3d",435114,"http://www.wikidata.org/entity/Q168751","0000000419367961"
"CrossRef","Brad Zebrack, University of Michigan School of Social Work, Ann Arbor, MI; and Sineéad Isaacson, Tulane University School of Public Health and Tropical Medicine, New Orleans, LA.","University of Michigan School of Social Work","US","10.1200/jco.2011.39.5467",,"549300MFOB21PM9P9H72","grid.214458.e",434885,"N/A","N/A"
